city,city_ascii,state_id,state_name,county_name,lat,lng
New York,New York,NY,New York,Queens,40.6943,-73.9249
Los Angeles,Los Angeles,CA,California,Los Angeles,34.1141,-118.4068
Chicago,Chicago,IL,Illinois,Cook,41.8375,-87.6866
Miami,Miami,FL,Florida,Miami-Dade,25.784,-80.2101
Houston,Houston,TX,Texas,Harris,29.786,-95.3885
Dallas,Dallas,TX,Texas,Dallas,32.7935,-96.7667
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339
Atlanta,Atlanta,GA,Georgia,Fulton,33.7628,-84.422
Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163
Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852
Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892
Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024
Seattle,Seattle,WA,Washington,King,47.6211,-122.3244
San Francisco,San Francisco,CA,California,San Francisco,37.7558,-122.4449
San Diego,San Diego,CA,California,San Diego,32.8313,-117.1222
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678
Tampa,Tampa,FL,Florida,Hillsborough,27.9945,-82.4447
Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496
Denver,Denver,CO,Colorado,Denver,39.762,-104.8758
Queens,Queens,NY,New York,Queens,40.7498,-73.7976
Riverside,Riverside,CA,California,Riverside,33.9381,-117.3949
Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654
Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144
St. Louis,St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451
Portland,Portland,OR,Oregon,Multnomah,45.5371,-122.65
San Antonio,San Antonio,TX,Texas,Bexar,29.4632,-98.5238
Sacramento,Sacramento,CA,California,Sacramento,38.5677,-121.4685
Austin,Austin,TX,Texas,Travis,30.3005,-97.7522
Orlando,Orlando,FL,Florida,Orange,28.4773,-81.337
San Juan,San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061
San Jose,San Jose,CA,California,Santa Clara,37.3012,-121.848
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763
Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458
Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662
